Index,Degree,Technical Skills,Soft Skills,Language,Experience Requirement,Experience Years Requirement
6839,None,"Social media platforms, Analytics tools","Communication, Teamwork",None,Experience in digital marketing,None
6840,None,"C, C++, Java, JavaScript, SQL, Ruby, Rust, Lua, Haskell","Problem-solving, Curiosity, Learning, Teamwork",None,None,None
6841,None,None,"Ability to do logical or scientific thinking to solve problems, Ability to compose original correspondence and follow technical manuals, Ability to do arithmetic calculations involving arithmetic, algebraic and geometric calculations",None,Six months or less of similar or related work experience,None
6842,"High School diploma or equivalent, Currently enrolled in a Bachelor's Degree program","Microsoft Office Suite, G Suite",Ability to communicate in English both verbally and written,English,None,None
6843,"Currently pursuing certifications in Security+, Network+, CCNA, or NRS1","local area networks (LAN), wide-area networks (WAN), routers, switches, firewalls, bridges, R.F. interfaces, transmitters, receivers, antenna networks, telephony, dedicated data circuits, packet switching techniques",None,None,None,None
6844,Current undergraduate student pursuing a STEM major,None,"Skillful prioritization, Effective listening and understanding of customer requirements, Strong communication, negotiation, and collaboration skills, Strategic thinking and problem solving",None,None,None
6845,Current college or university student,None,None,None,None,None
6846,"Currently enrolled as a Senior in a Bachelor?€?s program, or a recent graduate with a major in Media, Marketing, Advertising, or similar field (a degree is not required)","Keynote, Microsoft Excel, PowerPoint, Word, Google AdWords, Google Analytics, WordPress, HTML, CSS",Strong written and verbal communication and organizational skills,None,Candidates should have prior work or life experience in a relevant field,None
6847,None,None,"Highly organized and detail-oriented, Strong verbal and written communication skills, Able to manage tasks autonomously",None,"Experience analyzing and developing recommendations on a healthcare related topic, Interest and experience in healthcare",None
6848,None,MS programs,"Effective verbal, written communication, and interpersonal skills, Strong planning, organization, and time management skills",None,None,None
6849,None,"BI software, Domo, PowerBI, Tableau, QuickSight","Ability to work solo, effectively prioritize tasks, and manage your time, Proven systematic and problem-solving skills, Strong verbal and written communication skills",None,"Experience inputting data into BI software, creating sophisticated visualizations, and generating comprehensive reports",None
6850,None,"MS Office, social media measurement tools","Collaborative spirit with the ability to manage multiple priorities, Excellent written and verbal communication skills",None,Experience with social media measurement tools,None
6851,None,None,"Ability to function effectively in a team setting, Ability to multi-task while maintaining attention to detail, Demonstrates reliability, flexibility, and dependability",None,None,None
6852,None,None,None,None,None,None
6853,Completion of freshman year and currently enrolled as a sophomore or higher in a degree program,Microsoft Office,Excellent oral and written communication,None,Prior work experience of some type is required,None
6854,Working towards a bachelor?€?s degree in business administration with a focus in Accounting or Finance,Microsoft Office Suite,None,None,None,None
6855,Working towards B.A. / B.S. degree in Accounting,None,None,None,None,None
6856,Currently enrolled in an Industrial Maintenance or similar college or university program,None,"Excellent communication skills, A keen eye for detail and a taste for quality, A strong appetite for learning and growth, A dash of creativity and a pinch of innovation",None,None,None
6857,None,Java,"Collaborative team player, Excellent analytical and problem-solving skills, Organized and detail-oriented",None,None,None
6858,Must be pursuing a Bachelor's Degree (enrolled student),GSuite Applications,None,None,"Experience with technical writing or protocol generation, Data analysis",None
6859,"Pursuing Master?€?s degree in Finance, Economics, Accounting, Engineering, or related field","Microsoft Office, Excel, PowerPoint",Ability to work independently and in a team,None,"1+ years of experience working with Microsoft Office, especially Excel and PowerPoint",1+ years
6860,Currently enrolled in school studying for a real estate degree or similar business degree,"Microsoft Office, Excel, Word, PPT, Outlook, Adobe Creative Cloud, InDesign, Photoshop, Lightroom",None,None,None,None
6861,Completed Bachelor's degree from a four-year college or university,"Microsoft Office Suite, PowerPoint, Excel","Exceptional verbal and written communication skills, Self-motivated, solutions oriented, and comfortable with ambiguity, Excellent problem-solving skills and ability to multi-task",None,None,None
6862,Pursuing a Bachelor?€?s Degree in Urban Planning or related field,None,None,None,None,None
6863,"Currently pursuing a Bachelor?€?s, Master?€?s, or PhD degree in Human Computer interaction, Human Factors, User Interface Design, Computer Science, Cognitive Science, Cognitive Psychology, Behavioral Sciences or related field","Figma, Sketch","Impeccable attention to detail, strong communication, collaboration, teamwork skills",None,"Some experience with industry tools: Figma, Sketch, or equivalent",None
6864,None,"C, C++, MATLAB, python, Julia, Github",None,None,Experience with Github and working in a multi-developer environment is an advantage,None
6865,"Pursuing a BS degree in business administration, Finance, Accounting, Economics, Math, or related field",Microsoft Excel,Strong analytical and quantitative skills,None,None,None
6866,None,None,"Passionate about engaging with and delighting users, Have a curious mindset, excited to work in a fast-paced environment, Detail-oriented with a strong passion for problem-solving",None,Familiar with common metrics used to determine business growth metrics such as retention and churn,None
6867,Currently enrolled as a Junior or higher attending an accredited college/university earning a degree in Theatrical Lighting Design,"CAD, MS Office",None,None,Hands on experience with theatrical lighting,None
6868,"Currently enrolled in a Master program for Computer Science, Pharmacy, Mathematics, Statistics or Biostatistics","R, SAS","Excellent communication skills, Commitment to core values including Patients First, Thoughtfulness, Urgency, Trust, Optimism, Willingness to learn and work collaboratively with a team",None,None,None
6869,"Currently pursuing a Bachelor's degree in Accounting, Finance, or a related field","Microsoft Excel, accounting software","Strong analytical and problem-solving skills, Excellent attention to detail and organizational skills, Strong written and verbal communication skills",None,None,None
6870,Foreign Graduate from a Non-US Accredited college or school of pharmacy,None,None,None,"Experience in pharmacy, retail, medical, or customer service setting preferred",None
6871,Bachelor?€?s,"Laboratory and microbiology, Advanced computer skills","Superior communication, organizational, and analytical skills",None,Laboratory and microbiology experience an asset,None
6872,Bachelor?€?s,"C#, JavaScript, React, Typescript",None,None,None,None
6873,Bachelor?€?s,None,"Self-starter, detail-oriented, collaborative, and organized",None,Some lab or research experience,None
6874,Bachelor?€?s,None,None,None,None,None
6875,Bachelor?€?s,"MEP AutoCAD, Revit, MS Office Suite",None,None,Previous engineering internship or co-op experience is a plus,None
6876,None,None,"Excellent communication skills, Enthusiasm for collaborating, Ability to drive clarity",None,None,None
6877,PhD,"Python, C/C++, Matlab, MLFlow",Ability to communicate effectively and work in teams,None,Experience with modeling problems and optimization algorithms,None
6878,Bachelor?€?s,Quality Assurance and Testing,"Creative thinking, Building and managing relationships, Emotional agility",None,Typically between 4 - 6 years of relevant experience,4 - 6 years
